old.sampleid,sampleid,season,delta13c,delta15n,c_n_ratio,delta34s,species,role
WA-S17-210-14,WA-S17-210-14,summer,-25.78,9.28,3.58,,blacknose dace,invertivore
WA-S17-TER-2,WA-S17-TER-2,summer,-24.87,3.69,4.14,5.18,japanese beetle,terbase
WA-S17-TER-2,BG-S17-TER-1,summer,-24.87,3.69,4.14,5.18,japanese beetle,terbase
WA-S17-AQB-1 AVG,WA-S17-AQB-1,summer,-29.48,7.39,5.35,-1.53,caddisfly,aqbase
WA-S17-AQB-2,WA-S17-AQB-2,summer,-30,11.23,4.4,-1.62,mayfly,aqbase
WA-F17-163-1,WA-F17-163-1,fall,-25.44,7.81,3.44,-2.05,white sucker,detritivore
WA-F17-163-2,WA-F17-163-2,fall,-28.63,13.61,3.28,-2.54,white sucker,detritivore
WA-F17-163-3,WA-F17-163-3,fall,-27.23,12.32,3.38,-1.1,white sucker,detritivore
WA-F17-163-4,WA-F17-163-4,fall,-30.07,13.81,3.43,-2.08,white sucker,detritivore
WA-F17-163-5,WA-F17-163-5,fall,-28.28,13.3,3.33,-2.23,white sucker,detritivore
WA-F17-212-1,WA-F17-212-1,fall,-25.58,7.9,3.32,1.25,creek chub,cc
WA-F17-212-2,WA-F17-212-2,fall,-25.92,8.47,3.43,1.02,creek chub,cc
WA-F17-212-3,WA-F17-212-3,fall,-25.84,10.21,3.32,0.95,creek chub,cc
WA-F17-212-9,WA-F17-212-9,fall,-25.8,9.13,3.3,0.69,creek chub,cc
WA-F17-212-10,WA-F17-212-10,fall,-26.31,8.58,3.37,-0.25,creek chub,cc
WA-F17-212-11,WA-F17-212-11,fall,-25.59,8.44,3.37,0.63,creek chub,cc
WA-F17-212-12 ,WA-F17-212-12 ,fall,-25.53,7.96,3.43,1.02,creek chub,cc
WA-F17-212-13,WA-F17-212-13,fall,-24.9,8.33,3.44,1.64,creek chub,cc
WA-F17-212-14,WA-F17-212-14,fall,-25.5,7.91,3.41,0.23,creek chub,cc
WA-F17-212-15,WA-F17-212-15,fall,-25.88,8.67,3.45,1.6,creek chub,cc
WA-F17-341-2,WA-F17-341-2,fall,-28.14,14.96,3.3,,johnny darter,invertivore
WA-F17-341-3,WA-F17-341-3,fall,-27.92,14.84,3.36,,johnny darter,invertivore
WA-F17-341-4,WA-F17-341-4,fall,-28.6,14.07,3.38,,johnny darter,invertivore
WA-F17-341-5,WA-F17-341-5,fall,-27.69,14.42,3.3,,johnny darter,invertivore
WA-F17-341-6,WA-F17-341-6,fall,-28.64,14.01,3.31,,johnny darter,invertivore
WA-F17-341-7,WA-F17-341-7,fall,-27.73,14.61,3.3,,johnny darter,invertivore
WA-F17-341-8,WA-F17-341-8,fall,-28.5,13.55,3.3,,johnny darter,invertivore
WA-F17-341-9,WA-F17-341-9,fall,-28.3,14.39,3.32,,johnny darter,invertivore
WA-F17-341-10,WA-F17-341-10,fall,-27.77,14.48,3.3,,johnny darter,invertivore
WA-F17-210-1 AVG,WA-F17-210-1,fall,-26.39,9.95,3.42,,blacknose dace,invertivore
WA-F17-341-11,WA-F17-341-11,fall,-28.84,14.44,3.26,,johnny darter,invertivore
WA-F17-210-2,WA-F17-210-2,fall,-27.89,13.79,3.47,,blacknose dace,invertivore
WA-F17-210-3,WA-F17-210-3,fall,-27.55,11.58,3.57,,blacknose dace,invertivore
WA-F17-210-4,WA-F17-210-4,fall,-27.81,13.89,3.41,,blacknose dace,invertivore
WA-F17-210-5,WA-F17-210-5,fall,-27.78,14.04,3.49,,blacknose dace,invertivore
WA-F17-210-6,WA-F17-210-6,fall,-27.32,13.55,3.39,,blacknose dace,invertivore
WA-F17-210-7,WA-F17-210-7,fall,-27.7,14.15,3.48,,blacknose dace,invertivore
WA-F17-210-8,WA-F17-210-8,fall,-27.04,14.07,3.37,,blacknose dace,invertivore
WA-F17-210-9,WA-F17-210-9,fall,-27.68,12.99,3.41,,blacknose dace,invertivore
WA-F17-210-10,WA-F17-210-10,fall,-27.21,12.86,3.49,,blacknose dace,invertivore
WA-F17-165-1,WA-F17-165-1,fall,-28.02,13.85,3.31,,northern hog sucker,herbivore
WA-F17-TER-1,WA-F17-TER-1,fall,-31.03,3.16,4.76,-1.51,caterpillar,terbase
WA-F17-165-2 AVG,WA-F17-165-2,fall,-28.05,14.33,3.32,,northern hog sucker,herbivore
WA-F17-TER-2,WA-F17-TER-2,fall,-18.39,4.37,4.56,5.21,japanese beetle,terbase
WA-F17-AQB-1,WA-F17-AQB-1,fall,-31.04,4.38,4.85,-2.91,cranefly larvae,aqbase
WA-F17-AQB-2,WA-F17-AQB-2,fall,-29.34,8,4.43,-1.22,amphipod,aqbase
JC-F17-163-1,JC-F17-163-1,fall,-31.42,16.28,3.38,-2.43,white sucker,detritivore
JC-F17-163-2,JC-F17-163-2,fall,-29.16,15.31,3.32,-2.47,white sucker,detritivore
JC-F17-163-3,JC-F17-163-3,fall,-28.97,14.58,3.18,-4.7,white sucker,detritivore
JC-F17-163-4,JC-F17-163-4,fall,-30.22,15.68,3.24,-3.18,white sucker,detritivore
JC-F17-163-5,JC-F17-163-5,fall,-29.68,15.56,3.24,-4.11,white sucker,detritivore
JC-F17-163-6,JC-F17-163-6,fall,-29.41,15.51,3.26,-3.79,white sucker,detritivore
JC-F17-163-7,JC-F17-163-7,fall,-29.45,15.28,3.23,-3.86,white sucker,detritivore
JC-F17-163-8,JC-F17-163-8,fall,-28.64,15.16,3.19,-4.03,white sucker,detritivore
JC-F17-163-9,JC-F17-163-9,fall,-28.86,15.06,3.19,-3.18,white sucker,detritivore
JC-F17-163-10 AVG,JC-F17-163-10,fall,-28.52,14.75,3.2,-4.14,white sucker,detritivore
JC-F17-212-1,JC-F17-212-1,fall,-24.89,11.96,3.39,4.8,creek chub,cc
JC-F17-212-2,JC-F17-212-2,fall,-25.49,8.33,3.41,1.42,creek chub,cc
JC-F17-212-3,JC-F17-212-3,fall,-26.65,11.42,3.39,0.58,creek chub,cc
JC-F17-212-4,JC-F17-212-4,fall,-27.82,14.25,3.65,-1.74,creek chub,cc
JC-F17-212-5,JC-F17-212-5,fall,-26.48,10.14,3.47,0.3,creek chub,cc
JC-F17-AQB-1,JC-F17-AQB-1,fall,-30.08,12.62,4.37,-0.34,mayfly,aqbase
JC-F17-AQB-3,JC-F17-AQB-3,fall,-29.78,9.04,5.38,1.08,cranefly larvae,aqbase
JC-S17-163-1,JC-S17-163-1,summer,-28.45,14.46,3.21,-4.44,white sucker,detritivore
JC-S17-163-2,JC-S17-163-2,summer,-28.89,15.07,3.25,-3.94,white sucker,detritivore
JC-S17-163-3,JC-S17-163-3,summer,-29.55,14.78,3.22,-2.8,white sucker,detritivore
JC-S17-212-1,JC-S17-212-1,summer,-25.51,10.59,3.17,-0.57,creek chub,cc
JC-S17-212-2 AVG,JC-S17-212-2,summer,-26.49,11.65,3.2,-2.38,creek chub,cc
JC-S17-212-3,JC-S17-212-3,summer,-25.62,11.12,3.22,-0.72,creek chub,cc
JC-S17-212-4,JC-S17-212-4,summer,-25.59,10.43,3.21,0.49,creek chub,cc
JC-S17-TER-1,JC-S17-TER-1,summer,-31.19,0.28,8.13,1.87,aphids,terbase
JC-S17-AQB-1,JC-S17-AQB-1,summer,-31.57,13.28,4.87,-2.58,mayfly,aqbase
JC-S17-AQB-3,JC-S17-AQB-3,summer,-31.77,9.46,5.54,-4.15,caddisfly,aqbase
WA-S17-212-1,WA-S17-212-1,summer,-25.86,11.58,3.24,,creek chub,cc
BS-S17-AQB-1,BS-S17-AQB-1,summer,-38.18,9.04,10.24,,orange bacterial colony,aqbase
JC-F17-TER-1,JC-F17-TER-1,fall,-32.26,-2.22,16.42,4.14,fuzzy aphids,terbase
JC-S17-AQB-2,JC-S17-AQB-2,summer,-36.4,11.99,10.74,-4.02,algae,algae
BG-S17-AQB-1,BG-S17-AQB-1,summer,-31.47,6.3,12.33,1.07,algae,algae
