,old.sampleid.x,sampleid,replicate,sitecode.x,species.x,role.x,delta13c,delta15n,c_n_ratio,old.sampleid.y,sitename,sitecode.y,species.y,role.y,delta2h,ampl,p_h
150,EP1-S18-212-25,EP1-S18-212-25,0,P1,creek chub,cc,-25.597,11.907,3.306870363,EP1-S18-212-25,Perl 1,EP1,creek chub,cc,-103.05,14127,6.7
151,EP1-S18-212-27,EP1-S18-212-27,0,P1,creek chub,cc,-25.119,11.393,3.300989163,EP1-S18-212-27,Perl 1,EP1,creek chub,cc,-91.77,14426,6.5
152,EP1-S18-212-29,EP1-S18-212-29,0,P1,creek chub,cc,-26.052,12.748,3.460628597,EP1-S18-212-29,Perl 1,EP1,creek chub,cc,-104.89,15496,7
153,EP1-S18-212-31,EP1-S18-212-31,0,P1,creek chub,cc,-25.607,11.724,3.383562535,EP1-S18-212-31,Perl 1,EP1,creek chub,cc,-98.12,17286,6.7
154,EP1-S18-212-32,EP1-S18-212-32,0,P1,creek chub,cc,-25.316,13.178,3.330193722,EP1-S18-212-32,Perl 1,EP1,creek chub,cc,-106.34,15580,6.5
155,EP1-S18-341-11,EP1-S18-341-11,0,P1,johnny darter,invertivore,-25.57,13.743,3.365957447,EP1-S18-341-11,Perl 1,EP1,johnny darter,invertivore,-108.73,16122,6.7
156,EP1-S18-341-11 A,EP1-S18-341-11 A,1,P1,johnny darter,invertivore,-25.229,13.96754545,3.325449145,NA,NA,NA,NA,NA,NA,NA,NA
157,EP1-S18-341-11 B,EP1-S18-341-11 B,1,P1,johnny darter,invertivore,-25.565,14.19436364,3.237427886,NA,NA,NA,NA,NA,NA,NA,NA
158,EP1-S18-341-11,EP1-S18-341-11,0,P1,johnny darter,invertivore,-25.397,14.08095455,3.281438516,EP1-S18-341-11,Perl 1,EP1,johnny darter,invertivore,-108.73,16122,6.7
159,EP1-S18-341-16,EP1-S18-341-16,0,P1,johnny darter,invertivore,-24.702,16.961,3.354996506,NA,NA,NA,NA,NA,NA,NA,NA
160,EP1-S18-341-19,EP1-S18-341-19,0,P1,johnny darter,invertivore,-25.931,14.081,3.376216968,NA,NA,NA,NA,NA,NA,NA,NA
161,EP1-S18-ALG-1,EP1-S18-ALG-1,0,P1,algae,algae,-33.336,12.02,11.04883754,EP1-S18-ALG-1,Perl 1,EP1,algae,algae,-107,9546,2.4
162,EP1-S18-ALG-2,EP1-S18-ALG-2,0,P1,algae,algae,-33.709,12.031,11.52409174,EP1-S18-ALG-2,Perl 1,EP1,algae,algae,-107.4,8939,2.2
163,EP1-S18-ALG-3,EP1-S18-ALG-3,0,P1,algae,algae,-33.546,11.946,11.22648073,EP1-S18-ALG-3,Perl 1,EP1,algae,algae,-106.2,9937,2.2
164,EP1-S18-CADDISFLY-1,EP1-S18-CADDISFLY-1,0,P1,caddisfly,aqbase,-30.282,8.455,6.577227974,EP1-S18-CADDISFLY-1,Perl 1,EP1,caddisfly,aqbase,-177.39,24210,7.2
165,EP1-S18-CADDISFLY-2,EP1-S18-CADDISFLY-2,0,P1,caddisfly,aqbase,-30.28,8.715,6.375518181,EP1-S18-CADDISFLY-2,Perl 1,EP1,caddisfly,aqbase,-176.37,23608,7.1
166,EP1-S18-DET-1,EP1-S18-DET-1,0,P1,detritus,det,-28.447,5.093,27.55215018,EP1-S18-DET-1,Perl 1,EP1,detritus,det,-99.99,26292,5.1
167,EP1-S18-DET-2 A,EP1-S18-DET-2 A,1,P1,detritus,det,-28.79,5.511,24.24051755,NA,NA,NA,NA,NA,NA,NA,NA
168,EP1-S18-DET-2 B,EP1-S18-DET-2 B,1,P1,detritus,det,-28.85,5.311,24.60637698,NA,NA,NA,NA,NA,NA,NA,NA
169,EP1-S18-DET-2,EP1-S18-DET-2,0,P1,detritus,det,-28.82,5.411,24.42344727,EP1-S18-DET-2,Perl 1,EP1,detritus,det,-97.66,27820,5.2
170,EP1-S18-DET-3,EP1-S18-DET-3,0,P1,detritus,det,-28.615,5.336,24.4557293,EP1-S18-DET-3,Perl 1,EP1,detritus,det,-100.34,21825,4.9
171,EP1-S18-GOL-1,EP1-S18-GOL-1,0,P1,goldenrod,terpp,-33.319,2.467,10.86216584,EP1-S18-GOL-1,Perl 1,EP1,goldenrod,terpp,-108.26,16273,6
172,EP1-S18-GOL-2,EP1-S18-GOL-2,0,P1,goldenrod,terpp,-31.189,4.923,13.17617405,EP1-S18-GOL-2,Perl 1,EP1,goldenrod,terpp,-99.74,16286,6
173,EP1-S18-GOL-3,EP1-S18-GOL-3,0,P1,goldenrod,terpp,-33.266,2.706,10.96852263,EP1-S18-GOL-3,Perl 1,EP1,goldenrod,terpp,-107.22,15395,5.9
174,EP1-S18-MAYFLY,EP1-S18-MAYFLY,0,P1,mayfly,aqbase,-27.962,11.413,4.696203,EP1-S18-MAYFLY,Perl 1,EP1,mayfly,aqbase,-111.11,14826,5.6
175,EP1-S18-SNAIL-1,EP1-S18-SNAIL-1,0,P1,european garden snail,terbase,-26.138,2.239,4.416725874,EP1-S18-snail-1,Perl 1,EP1,european garden snail,terbase,-84.85,6585,6.6
176,EP1-S18-SNAIL-2,EP1-S18-SNAIL-2,0,P1,european garden snail,terbase,-26.153,2.146,4.387712967,EP1-S18-snail-2,Perl 1,EP1,european garden snail,terbase,-80.44,5193,6.1
177,EP1-S18-SNAIL-3,EP1-S18-SNAIL-3,0,P1,european garden snail,terbase,-26.141,2.154,4.381648071,EP1-S18-snail-3,Perl 1,EP1,european garden snail,terbase,-83.86,5714,6.5
178,EP2-S18-163-10,EP2-S18-163-10,0,P2,white sucker,detritivore,-28.007,10.794,3.294198017,EP2-S18-163-10,Perl 2,EP2,white sucker,detritivore,-127.99,15700,6.7
179,EP2-S18-163-2,EP2-S18-163-2,0,P2,white sucker,detritivore,-27.816,11.143,3.460305867,NA,NA,NA,NA,NA,NA,NA,NA
180,EP2-S18-163-4,EP2-S18-163-4,0,P2,white sucker,detritivore,-28.229,10.884,3.486508951,NA,NA,NA,NA,NA,NA,NA,NA
181,EP2-S18-198-1,EP2-S18-198-1,0,P2,common shiner,invertivore,-27.079,10.766,3.56144094,NA,NA,NA,NA,NA,NA,NA,NA
182,EP2-S18-198-2 A,EP2-S18-198-2 A,1,P2,common shiner,invertivore,-27.359,10.915,3.459993888,NA,NA,NA,NA,NA,NA,NA,NA
183,EP2-S18-198-2 B,EP2-S18-198-2 B,1,P2,common shiner,invertivore,-27.36,11.151,3.442132817,NA,NA,NA,NA,NA,NA,NA,NA
184,EP2-S18-198-2 C,EP2-S18-198-2 C,1,P2,common shiner,invertivore,-27.334,11.13,3.492425438,NA,NA,NA,NA,NA,NA,NA,NA
185,EP2-S18-198-2,EP2-S18-198-2,0,P2,common shiner,invertivore,-27.351,11.06533333,3.464850714,NA,NA,NA,NA,NA,NA,NA,NA
186,EP2-S18-198-3,EP2-S18-198-3,0,P2,common shiner,invertivore,-27.366,10.508,3.530078537,NA,NA,NA,NA,NA,NA,NA,NA
187,EP2-S18-208-1,EP2-S18-208-1,0,P2,bluntnose minnow,detritivore,-28.31,12.217,3.708067742,NA,NA,NA,NA,NA,NA,NA,NA
188,EP2-S18-208-2,EP2-S18-208-2,0,P2,bluntnose minnow,detritivore,-28.537,12.026,3.639829763,NA,NA,NA,NA,NA,NA,NA,NA
189,EP2-S18-208-7,EP2-S18-208-7,0,P2,bluntnose minnow,detritivore,-27.908,11.928,3.647961523,NA,NA,NA,NA,NA,NA,NA,NA
190,EP2-S18-212-10,EP2-S18-212-10,0,P2,creek chub,cc,-25.538,8.509,3.258564674,EP2-S18-212-10,Perl 2,EP2,creek chub,cc,-92.9,15925,6.7
191,EP2-S18-212-12,EP2-S18-212-12,0,P2,creek chub,cc,-26.526,10.483,3.628843729,EP2-S18-212-12,Perl 2,EP2,creek chub,cc,-112.56,15025,6.9
192,EP2-S18-212-13,EP2-S18-212-13,0,P2,creek chub,cc,-26.043,10.725,3.374284438,EP2-S18-212-13,Perl 2,EP2,creek chub,cc,-99.21,15072,6.7
193,EP2-S18-212-15,EP2-S18-212-15,0,P2,creek chub,cc,-25.689,9.819,3.226479878,EP2-S18-212-15,Perl 2,EP2,creek chub,cc,-98.9,16983,6.6
194,EP2-S18-212-16,EP2-S18-212-16,0,P2,creek chub,cc,-26.394,10.15,3.463076744,EP2-S18-212-16,Perl 2,EP2,creek chub,cc,-106.74,14878,6.8
195,EP2-S18-212-2,EP2-S18-212-2,0,P2,creek chub,cc,-26.441,10.685,3.419936542,EP2-S18-212-2,Perl 2,EP2,creek chub,cc,-109.6,14973,6.6
196,EP2-S18-212-3,EP2-S18-212-3,0,P2,creek chub,cc,-26.23,10.374,3.39508774,EP2-S18-212-3,Perl 2,EP2,creek chub,cc,-108.45,15553,6.7
197,EP2-S18-212-4,EP2-S18-212-4,0,P2,creek chub,cc,-26.021,9.189,3.580949947,EP2-S18-212-4,Perl 2,EP2,creek chub,cc,-109.54,15233,6.8
198,EP2-S18-212-6,EP2-S18-212-6,0,P2,creek chub,cc,-26.011,10.592,3.307879159,EP2-S18-212-6,Perl 2,EP2,creek chub,cc,-94.63,15468,6.6
199,EP2-S18-212-7,EP2-S18-212-7,0,P2,creek chub,cc,-26.171,10.986,3.27221476,EP2-S18-212-7,Perl 2,EP2,creek chub,cc,-105.8,14659,6.6
200,EP2-S18-281-1,EP2-S18-281-1,0,P2,brook stickleback,planktivore,-28.557,12.646,3.783526441,EP2-S18-281-1,Perl 2,EP2,brook stickleback,planktivore,-127.54,15576,7
201,EP2-S18-281-10,EP2-S18-281-10,0,P2,brook stickleback,planktivore,-28.717,12.376,4.357808867,NA,NA,NA,NA,NA,NA,NA,NA
202,EP2-S18-281-6 A,EP2-S18-281-6 A,1,P2,brook stickleback,planktivore,-27.802,13.452,3.725291588,NA,NA,NA,NA,NA,NA,NA,NA
203,EP2-S18-281-6 B,EP2-S18-281-6 B,1,P2,brook stickleback,planktivore,-27.739,13.584,3.71016114,NA,NA,NA,NA,NA,NA,NA,NA
204,EP2-S18-281-6 C,EP2-S18-281-6 C,1,P2,brook stickleback,planktivore,-27.741,13.602,3.713808114,NA,NA,NA,NA,NA,NA,NA,NA
205,EP2-S18-281-6,EP2-S18-281-6,0,P2,brook stickleback,planktivore,-27.76066667,13.546,3.716420281,NA,NA,NA,NA,NA,NA,NA,NA
206,EP2-S18-630-3,EP2-S18-630-3,0,P2,blacknose dace,invertivore,-27.583,11.54,3.82482391,EP2-S18-630-3,Perl 2,EP2,blacknose dace,invertivore,-125.27,14734,6.9
207,EP2-S18-630-4,EP2-S18-630-4,0,P2,blacknose dace,invertivore,-27.766,11.851,3.78213755,NA,NA,NA,NA,NA,NA,NA,NA
208,EP2-S18-630-6,EP2-S18-630-6,0,P2,blacknose dace,invertivore,-27.63,11.674,3.734859112,NA,NA,NA,NA,NA,NA,NA,NA
209,EP2-S18-ALGAE-1,EP2-S18-ALGAE-1,0,P2,algae,algae,-31.23,8.816,11.86664953,EP2-S18-ALGAE-1,Perl 2,EP2,algae,algae,-113.22,6106,1.9
210,EP2-S18-ALGAE-2,EP2-S18-ALGAE-2,0,P2,algae,algae,-32.12,8.844,12.67536683,EP2-S18-ALGAE-2,Perl 2,EP2,algae,algae,-115.54,8156,2.3
211,EP2-S18-ALGAE-3,EP2-S18-ALGAE-3,0,P2,algae,algae,-31.64,8.859,12.07411223,EP2-S18-ALGAE-3,Perl 2,EP2,algae,algae,-111.64,7821,2
212,EP2-S18-DET-1,EP2-S18-DET-1,0,P2,detritus,det,-29.4,3.714,37.9856222,EP2-S18-DET-1,Perl 2,EP2,detritus,terbase,-91.71,23871,4.5
213,EP2-S18-DET-2 A,EP2-S18-DET-2 A,1,P2,detritus,det,-29.504,3.759,39.05390431,NA,NA,NA,NA,NA,NA,NA,NA
214,EP2-S18-DET-2 B,EP2-S18-DET-2 B,1,P2,detritus,det,-29.605,3.535,39.38950935,NA,NA,NA,NA,NA,NA,NA,NA
215,EP2-S18-DET-2 C,EP2-S18-DET-2 C,1,P2,detritus,det,-29.615,3.61,36.53996618,NA,NA,NA,NA,NA,NA,NA,NA
216,EP2-S18-DET-2,EP2-S18-DET-2,0,P2,detritus,det,-29.57466667,3.634666667,38.32779328,EP2-S18-DET-2,Perl 2,EP2,detritus,terbase,-106.25,20682,4.5
217,EP2-S18-DET-3,EP2-S18-DET-3,0,P2,detritus,det,-29.335,3.812,36.61958144,EP2-S18-DET-3,Perl 2,EP2,detritus,terbase,-107.28,19671,4.1
218,EP2-S18-GOL-1,EP2-S18-GOL-1,0,P2,goldenrod,terpp,-29.123,-0.419,17.79597433,EP2-S18-GOL-1,Perl 2,EP2,goldenrod,terpp,-127.64,17155,5.9
219,EP2-S18-GOL-2,EP2-S18-GOL-2,0,P2,goldenrod,terpp,-29.242,-0.255,17.80307945,EP2-S18-GOL-2,Perl 2,EP2,goldenrod,terpp,-128.72,14143,5.9
220,EP2-S18-GOL-3,EP2-S18-GOL-3,0,P2,goldenrod,terpp,-29.161,-0.331,17.81971451,EP2-S18-GOL-3,Perl 2,EP2,goldenrod,terpp,-131.3,17049,6
221,EP3-S18-212-1,EP3-S18-212-1,0,P3,creek chub,cc,-27.163,13.545,3.386669073,EP3-S18-212-1,Perl 3,EP3,creek chub,cc,-96.88,16886,6.7
222,EP3-S18-212-10,EP3-S18-212-10,0,P3,creek chub,cc,-25.872,11.139,3.269434181,EP3-S18-212-10,Perl 3,EP3,creek chub,cc,-106,15261,6.7
223,EP3-S18-212-12,EP3-S18-212-12,0,P3,creek chub,cc,-26.347,12.964,3.349803627,EP3-S18-212-12,Perl 3,EP3,creek chub,cc,-107.28,13504,6.4
224,EP3-S18-212-16,EP3-S18-212-16,0,P3,creek chub,cc,-26.94,12.536,3.59094025,EP3-S18-212-16,Perl 3,EP3,creek chub,cc,-103.17,16000,6.7
225,EP3-S18-212-2,EP3-S18-212-2,0,P3,creek chub,cc,-26.45,12.827,3.350541367,EP3-S18-212-2,Perl 3,EP3,creek chub,cc,-101.63,15097,7
226,EP3-S18-212-26,EP3-S18-212-26,0,P3,creek chub,cc,-26.601,11.255,3.401627566,EP3-S18-212-26,Perl 3,EP3,creek chub,cc,-111.3,11682,5.8
227,EP3-S18-212-3,EP3-S18-212-3,0,P3,creek chub,cc,-27.855,13.134,3.374315477,EP3-S18-212-3,Perl 3,EP3,creek chub,cc,-107.71,14157,6.5
228,EP3-S18-212-4,EP3-S18-212-4,0,P3,creek chub,cc,-26.052,12.636,3.339929329,EP3-S18-212-4,Perl 3,EP3,creek chub,cc,-104.04,16119,6.5
229,EP3-S18-212-4 A,EP3-S18-212-4 A,1,P3,creek chub,cc,-26.184,12.835,3.323449806,NA,NA,NA,NA,NA,NA,NA,NA
230,EP3-S18-212-4 B,EP3-S18-212-4 B,1,P3,creek chub,cc,-26.166,12.794,3.256821434,NA,NA,NA,NA,NA,NA,NA,NA
231,EP3-S18-212-4,EP3-S18-212-4,0,P3,creek chub,cc,-26.175,12.8145,3.29013562,EP3-S18-212-4,Perl 3,EP3,creek chub,cc,-104.04,16119,6.5
232,EP3-S18-212-6,EP3-S18-212-6,0,P3,creek chub,cc,-28.907,13.793,3.566827443,EP3-S18-212-6,Perl 3,EP3,creek chub,cc,-115.06,13087,6.4
233,EP3-S18-212-7,EP3-S18-212-7,0,P3,creek chub,cc,-27.181,12.418,3.550626318,EP3-S18-212-7,Perl 3,EP3,creek chub,cc,-107.42,13378,6.3
234,EP3-S18-281-1,EP3-S18-281-1,0,P3,brook stickleback,planktivore,-28.158,13.696,3.860746898,EP3-S18-281-1,Perl 3,EP3,brook stickleback,planktivore,-114.35,14704,6.5
235,EP3-S18-281-3,EP3-S18-281-3,0,P3,brook stickleback,planktivore,-29.262,14.173,3.8365738,NA,NA,NA,NA,NA,NA,NA,NA
236,EP3-S18-281-5,EP3-S18-281-5,0,P3,brook stickleback,planktivore,-29.969,15.229,3.684448144,NA,NA,NA,NA,NA,NA,NA,NA
237,EP3-S18-630-1,EP3-S18-630-1,0,P3,blacknose dace,invertivore,-28.553,13.941,3.438393672,NA,NA,NA,NA,NA,NA,NA,NA
238,EP3-S18-630-7,EP3-S18-630-7,0,P3,blacknose dace,invertivore,-28.747,13.378,3.747397982,EP3-S18-630-7,Perl 3,EP3,blacknose dace,invertivore,-128.96,16728,7
239,EP3-S18-630-9,EP3-S18-630-9,0,P3,blacknose dace,invertivore,-27.9,12.681,3.634230997,NA,NA,NA,NA,NA,NA,NA,NA
240,EP3-S18-ALG-2,EP3-S18-ALG-2,0,P3,algae,algae,-36.123,10.024,7.814497061,EP3-S18-ALG-2,Perl 3,EP3,algae,algae,-125.47,834,4.2
241,EP3-S18-ALG-3,EP3-S18-ALG-3,0,P3,algae,algae,-36.347,9.991,7.446799844,EP3-S18-ALG-3,Perl 3,EP3,algae,algae,-100.26,12561,2.7
242,EP3-S18-ALG-3,EP3-S18-ALG-1,0,P4,algae,algae,-36.347,9.991,7.446799844,EP3-S18-ALG-1,Perl 3,EP3,algae,algae,-142.16,17058,4
243,EP3-S18-DET-1,EP3-S18-DET-1,0,P3,detritus,det,-26.654,5.879,23.76793701,EP3-S18-DET-1,Perl 3,EP3,detritus,terbase,-103.16,12249,2.6
244,EP3-S18-DET-2,EP3-S18-DET-2,0,P3,detritus,det,-26.158,6.555818182,24.00156808,EP3-S18-DET-2,Perl 3,EP3,detritus,terbase,-99.56,8333,2.2
245,EP3-S18-DET-3,EP3-S18-DET-3,0,P3,detritus,det,-25.978,6.317,24.79268293,EP3-S18-DET-3,Perl 3,EP3,detritus,terbase,-105.25,16266,6.6
246,EP3-S18-DET-3 A,EP3-S18-DET-3 A,1,P3,detritus,det,-26.1,5.875636364,23.60567861,NA,NA,NA,NA,NA,NA,NA,NA
247,EP3-S18-DET-3 B,EP3-S18-DET-3 B,1,P3,detritus,det,-26.362,5.525454545,24.61101933,NA,NA,NA,NA,NA,NA,NA,NA
248,EP3-S18-DET-3,EP3-S18-DET-3,0,P3,detritus,det,-26.231,5.700545455,24.10834897,EP3-S18-DET-3,Perl 3,EP3,detritus,terbase,-105.25,16266,6.6
249,FP-S18-163-1,FP-S18-163-1,0,FP,white sucker,detritivore,-31.135,13.948,3.350066431,FP-S18-163-1,Five Points,FP,white sucker,detritivore,-120.71,20912,6.2
250,FP-S18-182-1,FP-S18-182-1,0,FP,northern redbelly dace,planktivore/invertivore,-31.334,14.452,3.319689566,NA,NA,NA,NA,NA,NA,NA,NA
251,FP-S18-182-2,FP-S18-182-2,0,FP,northern redbelly dace,planktivore/invertivore,-30.756,12.523,3.393289701,NA,NA,NA,NA,NA,NA,NA,NA
252,FP-S18-281-2,FP-S18-281-2,0,FP,brook stickleback,planktivore,-30.177,14.204,3.450233126,FP-S18-281-2,Five Points,FP,brook stickleback,planktivore,-102.63,20082,6.2
253,FP-S18-281-5,FP-S18-281-5,0,FP,brook stickleback,planktivore,-29.618,14.65,3.597739733,FP-S18-281-5,Five Points,FP,brook stickleback,planktivore,-115.61,20061,6.2
254,FP-S18-281-6,FP-S18-281-6,0,FP,brook stickleback,planktivore,-30.302,13.402,3.717567409,FP-S18-281-6,Five Points,FP,brook stickleback,planktivore,-115.1,24248,6.3
255,FP-S18-630-1,FP-S18-630-1,0,FP,blacknose dace,invertivore,-28.104,12.362,3.503415561,FP-S18-630-1,Five Points,FP,blacknose dace,invertivore,-107.19,23517,7
256,FP-S18-630-3 A,FP-S18-630-3 A,1,FP,blacknose dace,invertivore,-29.869,13.416,3.724120269,NA,NA,NA,NA,NA,NA,NA,NA
257,FP-S18-630-3 B,FP-S18-630-3 B,1,FP,blacknose dace,invertivore,-29.842,13.331,3.697014787,NA,NA,NA,NA,NA,NA,NA,NA
258,FP-S18-630-3 C,FP-S18-630-3 C,1,FP,blacknose dace,invertivore,-29.927,13.309,3.71228679,NA,NA,NA,NA,NA,NA,NA,NA
259,FP-S18-630-3,FP-S18-630-3,0,FP,blacknose dace,invertivore,-29.87933333,13.352,3.711140615,FP-S18-630-3,Five Points,FP,blacknose dace,invertivore,-116.07,25750,6.6
260,FP-S18-630-7,FP-S18-630-7,0,FP,blacknose dace,invertivore,-27.87,12.147,3.788654308,FP-S18-630-7,Five Points,FP,blacknose dace,invertivore,-111.22,25367,7
261,FP-S18-DETRITUS-1,FP-S18-DETRITUS-1,0,FP,detritus,det,-27.675,7.08,37.48609924,FP-S18-DETRITUS-1,Five Points,FP,detritus,det,-104.88,1842,4.9
262,FP-S18-DETRITUS-2,FP-S18-DETRITUS-2,0,FP,detritus,det,-27.73,6.883,45.86054341,FP-S18-DETRITUS-2,Five Points,FP,detritus,det,-106.28,1736,4.5
263,FP-S18-DETRITUS-3,FP-S18-DETRITUS-3,0,FP,detritus,det,-28.272,5.582,49.57344841,FP-S18-DETRITUS-3,Five Points,FP,detritus,det,-99.73,1556,4.3
264,FP-S18-EM-1,FP-S18-EM-1,0,FP,emergent macrophyte,algae,-30.45342165,5.493899574,15.09552348,FP-S18-EM-1,Five Points,FP,emergent macrophyte,algae,-104.61,24930,5.6
265,FP-S18-EM-1,FP-S18-EM-2,0,FP,emergent macrophyte,algae,-30.45342165,5.493899574,15.09552348,FP-S18-EM-2,Five Points,FP,emergent macrophyte,algae,-110.7,22850,5.5
266,FP-S18-GOLDENROD-1,FP-S18-GOLDENROD-1,0,FP,goldenrod,terpp,-32.404,-0.148,15.81161627,FP-S18-GOLDENROD-1,Five Points,FP,goldenrod,terpp,-125.96,23532,5.6
267,FP-S18-GOLDENROD-2,FP-S18-GOLDENROD-2,0,FP,goldenrod,terpp,-32.464,-0.169,15.70026775,FP-S18-GOLDENROD-2,Five Points,FP,goldenrod,terpp,-124.89,22686,5.7
268,FP-S18-GOLDENROD-3,FP-S18-GOLDENROD-3,0,FP,goldenrod,terpp,-32.388,-0.117,15.71950084,FP-S18-GOLDENROD-3,Five Points,FP,goldenrod,terpp,-120.97,21985,5.6
269,FP-S18-SNAILS-1,FP-S18-SNAIL-1,0,FP,european garden snail,terbase,-25.805,-0.145,4.140274021,FP-S18-SNAIL-1,Five Points,FP,european garden snail,terbase,-84.22,28240,6
270,FP-S18-SNAILS-2,FP-S18-SNAIL-2,0,FP,european garden snail,terbase,-25.797,-0.196,4.163113981,FP-S18-SNAIL-2,Five Points,FP,european garden snail,terbase,-85.24,31288,6.3
271,FP-S18-SNAILS-3,FP-S18-SNAIL-3,0,FP,european garden snail,terbase,-25.795,-0.268,4.200269863,FP-S18-SNAIL-3,Five Points,FP,european garden snail,terbase,-85,29850,6.3
272,GF-S18-198-1,GF-S18-198-1,0,GF,common shiner,invertivore,-26.25027695,16.00853868,3.524057769,NA,NA,NA,NA,NA,NA,NA,NA
273,GF-S18-198-2,GF-S18-198-2,0,GF,common shiner,invertivore,-26.50327621,16.30709791,3.51958398,NA,NA,NA,NA,NA,NA,NA,NA
274,GF-S18-208-1,GF-S18-208-1,0,GF,bluntnose minnow,detritivore,-26.455039,15.19153539,3.288591581,GF-S18-208-1,Garrod Farm,GF,bluntnose minnow,detritivore,-129.39,25331,7
275,GF-S18-341-1,GF-S18-341-1,0,GF,johnny darter,invertivore,-26.74347784,17.22093123,3.325912054,GF-S18-341-1,Garrod Farm,GF,johnny darter,invertivore,-107.36,22047,6.6
276,GF-S18-341-2,GF-S18-341-2,0,GF,johnny darter,invertivore,-26.30146746,17.443842,3.229691458,GF-S18-341-2,Garrod Farm,GF,johnny darter,invertivore,-131.18,14047,6.9
277,GF-S18-341-3,GF-S18-341-3,0,GF,johnny darter,invertivore,-25.56314278,18.29413062,3.305005545,GF-S18-341-3,Garrod Farm,GF,johnny darter,invertivore,-133.68,14401,7
278,GF-S18-630-1,GF-S18-630-1,0,GF,blacknose dace,invertivore,-26.85964092,17.93101804,3.473944184,NA,NA,NA,NA,NA,NA,NA,NA
279,GF-S18-ALG-1,GF-S18-ALG-1,0,GF,algae,algae,-23.1292464,12.37505871,10.7568883,GF-S18-ALG-1,Garrod Farm,GF,algae,algae,-171.59,31915,1.9
280,GF-S18-ALG-2,GF-S18-ALG-2,0,GF,algae,algae,-22.69227636,12.38217526,10.73263349,GF-S18-ALG-2,Garrod Farm,GF,algae,algae,-172.88,27704,1.8
281,GF-S18-ALG-3,GF-S18-ALG-3,0,GF,algae,algae,-22.7794722,12.49095684,10.63767235,GF-S18-ALG-3,Garrod Farm,GF,algae,algae,-175.19,30690,1.9
282,GF-S18-CADDIS-1,GF-S18-CADDIS-1,0,GF,caddisfly,aqbase,-23.79214796,14.54499327,5.909716106,GF-S18-CADDIS-1,Garrod Farm,GF,caddisfly,aqbase,-151.43,10652,2.8
283,GF-S18-CADDIS-2 A,GF-S18-CADDIS-2 A,1,GF,caddisfly,aqbase,-24.15245041,14.6902383,5.926599629,NA,NA,NA,NA,NA,NA,NA,NA
284,GF-S18-CADDIS-2 B,GF-S18-CADDIS-2 B,1,GF,caddisfly,aqbase,-24.33850823,14.75277436,5.791307276,NA,NA,NA,NA,NA,NA,NA,NA
285,GF-S18-CADDIS-2 C,GF-S18-CADDIS-2 C,1,GF,caddisfly,aqbase,-24.39265204,14.69830747,5.933924981,NA,NA,NA,NA,NA,NA,NA,NA
286,GF-S18-CADDIS-2,GF-S18-CADDIS-2,0,GF,caddisfly,aqbase,-24.29453689,14.71377338,5.883943962,GF-S18-CADDIS-2,Garrod Farm,GF,caddisfly,aqbase,-151.81,12027,2.8
287,GF-S18-CAT-1,GF-S18-CAT-1,0,GF,caterpillar,terbase,-29.50973433,0.48043283,4.29128666,GF-S18-CAT-1,Garrod Farm,GF,caterpillar,terbase,-98.72,25499,7.2
288,GF-S18-CAT-2,GF-S18-CAT-2,0,GF,caterpillar,terbase,-29.34828733,0.685187977,4.273645992,GF-S18-CAT-2,Garrod Farm,GF,caterpillar,terbase,-97.76,24230,6.4
289,GF-S18-CAT-3,GF-S18-CAT-3,0,GF,caterpillar,terbase,-29.42901083,0.673084224,4.201931573,GF-S18-CAT-3,Garrod Farm,GF,caterpillar,terbase,-97.97,25536,6.4
290,GF-S18-DET-1,GF-S18-DET-1,0,GF,detritus,det,-28.70284384,6.322939661,26.90788969,GF-S18-DET-1,Garrod Farm,GF,detritus,det,-115.59,29785,4.3
291,GF-S18-DET-2,GF-S18-DET-2,0,GF,detritus,det,-28.54529682,6.413421535,26.22096291,GF-S18-DET-2,Garrod Farm,GF,detritus,det,-108.61,31155,4.5
292,GF-S18-DET-3,GF-S18-DET-3,0,GF,detritus,det,-28.49773546,6.361572371,27.38443308,GF-S18-DET-3,Garrod Farm,GF,detritus,det,-116.2,29365,4.2
293,GF-S18-GOL-1,GF-S18-GOL-1,0,GF,goldenrod,terpp,-33.93261225,-2.293171367,14.48243102,GF-S18-GOL-1,Garrod Farm,GF,goldenrod,terpp,-128.82,21822,5.8
294,GF-S18-GOL-2,GF-S18-GOL-2,0,GF,goldenrod,terpp,-33.85235245,-2.295204668,14.70452312,GF-S18-GOL-2,Garrod Farm,GF,goldenrod,terpp,-122.88,24393,5.7
295,GF-S18-GOL-3,GF-S18-GOL-3,0,GF,goldenrod,terpp,-33.88901433,-2.384669891,14.67693666,GF-S18-GOL-3,Garrod Farm,GF,goldenrod,terpp,-126.34,24249,5.7
296,HT-S18-163-2,HT-S18-163-2,0,HT,white sucker,detritivore,-27.108,13.953,3.344029125,NA,NA,NA,NA,NA,NA,NA,NA
297,HT-S18-163-3,HT-S18-163-3,0,HT,white sucker,detritivore,-25.25,12.879,3.368674049,NA,NA,NA,NA,NA,NA,NA,NA
298,HT-S18-163-4,HT-S18-163-4,0,HT,white sucker,detritivore,-26.903,13.381,3.392718873,HT-S18-163-4,Hawkins Tract,HT,white sucker,detritivore,-131.04,12435,6.5
